Date,btc_daily_ret,gold_daily_ret,market_daily_ret,market_ret_21d,market_vol_21d,market_vol_63d,market_drawdown,market_ret_5d,btc_ret_21d,btc_vol_21d,btc_vol_63d,btc_momentum,btc_drawdown,gold_ret_21d,gold_vol_21d,gold_vol_63d,gold_momentum,gold_drawdown,btc_spy_corr_21d,btc_spy_corr_63d,gold_spy_corr_21d,gold_spy_corr_63d,btc_gold_corr_21d,btc_gold_corr_63d,vix_level,vix_pct_chg,vix_30d_avg,regime,kmeans_cluster,kmeans_regime,gmm_cluster,gmm_regime,crisis_prob_gmm,hmm_regime,hmm_crisis_prob
2015-03-06,-0.0125890195638853,-0.0276840335134201,-0.0141643403217361,-0.0005203839466731,0.0645916585010305,0.1147296820734872,-0.0211803315050814,-0.00302286200044,0.0070026525519221,0.619445479248641,0.9543385911552984,0.1584184893016658,-0.1343007036057165,-0.0025365262942148,0.1137906961591146,0.1469911410649585,-0.0518732206513568,-0.1067635741290729,0.1802751955762832,0.0856885384745987,0.4903678685270862,-0.2469068844201675,-0.0622000200884472,0.1298097634062786,15.199999809265137,0.1394302575263775,15.04633331298828,0,1,0,1,0,0.0246678656555188,0.0,5.827464230227191e-107
2015-03-07,0.012889423033744,0.0,0.0,-0.0005203839466731,0.0645916585010305,0.1147296820734872,-0.0211803315050814,-0.004281570623446,0.0033819825157073,0.5441706807207559,0.9273142531804804,0.0736044507195594,-0.1230701167464515,-0.0025365262942148,0.1137906961591146,0.1469911410649585,-0.0518732206513568,-0.1067635741290729,0.1910288023154068,0.0874140736852962,0.4903678685270862,-0.2469068844201675,-0.1100483816946011,0.134773280135352,15.199999809265137,0.1656441605621881,14.991333293914796,0,1,0,1,0,0.0279361421675804,0.0,2.7974664749457615e-06
2015-03-08,-0.0069267640018954,0.0,0.0,-0.0005203839466731,0.0645916585010305,0.1147296820734872,-0.0211803315050814,-0.0034590456188547,0.0074085102222932,0.4240009139177578,0.9189292038177262,0.1683338974628856,-0.1291234140100585,-0.0025365262942148,0.1137906961591146,0.1469911410649585,-0.0518732206513568,-0.1067635741290729,0.2654141544341793,0.0878740639209156,0.4903678685270862,-0.2469068844201675,-0.0852254654261384,0.1365196141825975,15.199999809265137,0.0966811100851887,14.92166659037272,0,1,0,1,0,0.0226812926803544,0.0,2.8393278622430097e-06
2015-03-09,0.0541055553911571,0.0009828943243309,0.0041360291791069,-0.0003234301762395,0.0665702767058307,0.1087257626604553,-0.0171235210350946,-0.0017869528512119,0.0101845168104756,0.4511299779132207,0.9221246784737936,0.2384676546079365,-0.0807061418086211,-0.00248972180258,0.1141172316844467,0.1437082086045746,-0.0509408540873487,-0.1058851855049184,0.3309824586860263,0.1288026057294946,0.4991019976252877,-0.1908075359981765,-0.0331148100576792,0.1237841393263709,15.0600004196167,0.0583275406943499,14.847333240509034,0,1,0,1,0,0.0056233808878413,0.0,2.1187844160824804e-06
2015-03-10,0.0074067670278434,-0.0049241610152975,-0.0163547688941714,-0.0011770861557211,0.086207659394243,0.1121167570178652,-0.0330675032402334,-0.0052766160073601,0.0085887138842911,0.4370810811602057,0.9184761632490992,0.1976520218161659,-0.0738718676768282,-0.0019223611686973,0.1020684855360875,0.1419183520656647,-0.0395655881627785,-0.1102771286256908,0.2496472465310348,0.1370151630788876,0.5403032552603128,-0.1386562860418043,0.0936205192909957,0.1095166645982525,16.690000534057617,0.1887464800145795,14.827333227793376,0,1,0,1,0,0.104924883971342,0.0,9.922669098960901e-05
2015-03-11,0.0157074533239502,-0.0060314192336181,-0.0023447922967774,-0.0012932652126354,0.0861683313253729,0.1095609918796872,-0.0353321030644542,-0.0029127064023683,0.0107822289755614,0.4138775295953517,0.917288918828537,0.2541108162063179,-0.0592099036624056,-0.0023448332418916,0.1014774051722397,0.14193652672263,-0.0480487924518699,-0.1156272695742276,0.2802204977638712,0.1251105387265134,0.540396928681482,-0.1220933485291154,0.1521558539464167,0.1115599557013208,16.8700008392334,0.1098684901923692,14.771333281199135,0,1,0,1,0,0.2053881583889402,0.0,0.00017476506159635425
2015-03-12,-0.0068558953788025,-0.0002709060307489,0.0126341581023552,-0.0006576379333628,0.0987821376307455,0.1067717112864955,-0.0230670199865384,-0.0003858747818973,0.009665034417441,0.4176805388440529,0.9141312968199106,0.2250304768718374,-0.0656378024578006,-0.0021937301940279,0.1016395214506233,0.1417689900234448,-0.0450232974882089,-0.1158668190311686,0.1707176659762588,0.1529859178091649,0.5051567440717579,-0.1075851373285503,0.1426249182159329,0.1078052087233105,15.420000076293944,0.0144737019598319,14.710999965667725,0,1,0,1,0,0.0045614088650873,0.0,6.789192789367919e-06
2015-03-13,-0.0311121803793417,0.0014440077763351,-0.0061512920852875,-0.0012354564943684,0.0974382879641898,0.1062508660072844,-0.0290579751461581,-0.0016161331989548,0.0074956596112067,0.4403123558586679,0.9149769544998604,0.1704740665564577,-0.0942602850013402,-0.0018531157348289,0.1015428034136284,0.1397175713932525,-0.0381679525717441,-0.1145892016197979,0.2129140171483286,0.1701093717830841,0.5221514279212337,-0.086484158310854,0.1027275378631103,0.097618176494834,16.0,0.0526315921561542,14.678999996185302,0,1,0,1,0,0.0213087940582527,0.0,1.4867888050280756e-05
2015-03-14,-0.0121717365475965,0.0,0.0,-0.0012354564943684,0.0974382879641898,0.1062508660072844,-0.0290579751461581,-0.0024433390347762,0.0067688036388458,0.4453814359158329,0.90848910381976,0.1527436418071381,-0.1052178883807555,-0.0018531157348289,0.1015428034136284,0.1397175713932525,-0.0381679525717441,-0.1145892016197979,0.2050155006365096,0.1711022798390558,0.5221514279212335,-0.086484158310854,0.093677747357767,0.0995404764767749,16.0,0.0624169690698603,14.70099999109904,0,1,0,1,0,0.0207557598195643,0.0,1.552569683797479e-05
2015-03-15,0.0158657912112252,0.0,0.0,-0.0012354564943684,0.0974382879641898,0.1062508660072844,-0.0290579751461581,0.000827614744058,0.0092205070639478,0.4185416037193778,0.9063147551880916,0.2136479372859558,-0.090908245486352,-0.0018531157348289,0.1015428034136284,0.1397175713932525,-0.0381679525717441,-0.1145892016197979,0.2378149982695315,0.171256307183142,0.5221514279212335,-0.086484158310854,0.1279710884976838,0.1011952755044115,16.0,-0.0413421517063227,14.74466667175293,0,1,0,1,0,0.040528527690878,0.0,1.4449729081118029e-05
