Date,BTC,Gold,Market,VIX
2015-01-02,315.0320129394531,114.08000183105469,170.12496948242188,17.790000915527344
2015-01-03,281.0820007324219,114.08000183105469,170.12496948242188,17.790000915527344
2015-01-04,264.19500732421875,114.08000183105469,170.12496948242188,17.790000915527344
2015-01-05,274.4739990234375,115.80000305175781,167.0526123046875,19.920000076293945
2015-01-06,286.1889953613281,117.12000274658203,165.4791259765625,21.1200008392334
2015-01-07,294.3370056152344,116.43000030517578,167.5411834716797,19.309999465942383
2015-01-08,283.3489990234375,115.94000244140625,170.51419067382812,17.010000228881836
2015-01-09,290.4079895019531,117.26000213623047,169.1478271484375,17.549999237060547
2015-01-10,274.7959899902344,117.26000213623047,169.1478271484375,17.549999237060547
2015-01-11,265.6600036621094,117.26000213623047,169.1478271484375,17.549999237060547
2015-01-12,267.7959899902344,118.55999755859375,167.82275390625,19.600000381469727
2015-01-13,225.86099243164062,118.16000366210938,167.3506622314453,20.559999465942383
2015-01-14,178.10299682617188,117.97000122070312,166.34039306640625,21.479999542236328
2015-01-15,209.843994140625,120.94000244140625,164.81658935546875,22.389999389648438
2015-01-16,208.0970001220703,122.5199966430664,166.9780731201172,20.950000762939453
2015-01-17,199.25999450683594,122.5199966430664,166.9780731201172,20.950000762939453
2015-01-18,210.33900451660156,122.5199966430664,166.9780731201172,20.950000762939453
2015-01-19,214.86099243164062,122.5199966430664,166.9780731201172,20.950000762939453
2015-01-20,211.31500244140625,124.19999694824219,167.33413696289062,19.889999389648438
2015-01-21,226.89700317382812,124.2300033569336,168.17886352539062,18.850000381469727
2015-01-22,233.406005859375,125.2300033569336,170.67990112304688,16.399999618530273
2015-01-23,232.87899780273438,124.2300033569336,169.74403381347656,16.65999984741211
2015-01-24,247.8470001220703,124.2300033569336,169.74403381347656,16.65999984741211
2015-01-25,253.71800231933594,124.2300033569336,169.74403381347656,16.65999984741211
2015-01-26,273.4729919433594,122.98999786376953,170.1415557861328,15.520000457763672
2015-01-27,263.4750061035156,124.4000015258789,167.8973388671875,17.219999313354492
2015-01-28,233.9149932861328,123.41999816894531,165.74411010742188,20.440000534057617
2015-01-29,233.51300048828125,120.76000213623047,167.27621459960938,18.760000228881836
2015-01-30,226.4250030517578,123.44999694824219,165.17271423339844,20.969999313354492
2015-01-31,217.46400451660156,123.44999694824219,165.17271423339844,20.969999313354492
2015-02-01,226.9720001220703,123.44999694824219,165.17271423339844,20.969999313354492
2015-02-02,238.22900390625,122.41999816894531,167.21826171875,19.43000030517578
2015-02-03,227.26800537109375,121.05000305175781,169.63638305664062,17.329999923706055
2015-02-04,226.85299682617188,121.58000183105469,168.99041748046875,18.329999923706055
2015-02-05,217.11099243164062,121.79000091552734,170.69642639160156,16.850000381469727
2015-02-06,222.26600646972656,118.63999938964844,170.2244110107422,17.290000915527344
2015-02-07,227.75399780273438,118.63999938964844,170.2244110107422,17.290000915527344
2015-02-08,223.41200256347656,118.63999938964844,170.2244110107422,17.290000915527344
2015-02-09,220.11000061035156,119.16999816894531,169.46249389648438,18.549999237060547
2015-02-10,219.83900451660156,118.47000122070312,171.2677764892578,17.229999542236328
2015-02-11,219.18499755859375,117.06999969482422,171.36721801757812,16.959999084472656
2015-02-12,221.76400756835938,117.33999633789062,173.01524353027344,15.34000015258789
2015-02-13,235.427001953125,117.9800033569336,173.7274169921875,14.6899995803833
2015-02-14,257.3210144042969,117.9800033569336,173.7274169921875,14.6899995803833
2015-02-15,234.8249969482422,117.9800033569336,173.7274169921875,14.6899995803833
2015-02-16,233.84300231933594,117.9800033569336,173.7274169921875,14.6899995803833
2015-02-17,243.61000061035156,116.01000213623047,174.000732421875,15.800000190734863
2015-02-18,236.3260040283203,116.33999633789062,174.0172576904297,15.449999809265137
2015-02-19,240.2830047607422,115.94000244140625,173.89305114746094,15.289999961853027
2015-02-20,243.7790069580078,115.27999877929688,174.93655395507812,14.300000190734863
2015-02-21,244.53399658203125,115.27999877929688,174.93655395507812,14.300000190734863
2015-02-22,235.9770050048828,115.27999877929688,174.93655395507812,14.300000190734863
2015-02-23,238.89199829101562,115.43000030517578,174.91168212890625,14.5600004196167
2015-02-24,238.73500061035156,115.26000213623047,175.40850830078125,13.6899995803833
2015-02-25,237.47000122070312,115.69999694824219,175.25950622558594,13.84000015258789
2015-02-26,236.42599487304688,116.06999969482422,175.05247497558594,13.90999984741211
2015-02-27,253.8280029296875,116.16000366210938,174.45620727539062,13.34000015258789
2015-02-28,254.26300048828125,116.16000366210938,174.45620727539062,13.34000015258789
2015-03-01,260.2019958496094,116.16000366210938,174.45620727539062,13.34000015258789
2015-03-02,275.6700134277344,115.68000030517578,175.5576171875,13.039999961853027
2015-03-03,281.7019958496094,115.47000122070312,174.83709716796875,13.859999656677246
2015-03-04,273.0920104980469,115.11000061035156,174.10006713867188,14.229999542236328
2015-03-05,276.1780090332031,115.0,174.29055786132812,14.039999961853027
2015-03-06,272.7229919433594,111.86000061035156,171.83924865722656,15.199999809265137
2015-03-07,276.260986328125,111.86000061035156,171.83924865722656,15.199999809265137
2015-03-08,274.35400390625,111.86000061035156,171.83924865722656,15.199999809265137
2015-03-09,289.60699462890625,111.97000122070312,172.55145263671875,15.0600004196167
2015-03-10,291.760009765625,111.41999816894531,169.7523651123047,16.690000534057617
2015-03-11,296.3789978027344,110.75,169.35479736328125,16.8700008392334
2015-03-12,294.35400390625,110.72000122070312,171.50802612304688,15.420000076293945
2015-03-13,285.3370056152344,110.87999725341797,170.45626831054688,16.0
2015-03-14,281.885009765625,110.87999725341797,170.45626831054688,16.0
2015-03-15,286.39300537109375,110.87999725341797,170.45626831054688,16.0
2015-03-16,290.5929870605469,110.80999755859375,172.73361206054688,15.609999656677246
2015-03-17,285.5050048828125,110.20999908447266,172.22019958496094,15.65999984741211
2015-03-18,256.29901123046875,112.37000274658203,174.29055786132812,13.970000267028809
2015-03-19,260.9280090332031,112.29000091552734,173.49554443359375,14.069999694824219
2015-03-20,261.7489929199219,113.56999969482422,175.02696228027344,13.020000457763672
2015-03-21,260.0249938964844,113.56999969482422,175.02696228027344,13.020000457763672
2015-03-22,267.9599914550781,113.56999969482422,175.02696228027344,13.020000457763672
2015-03-23,266.739990234375,114.29000091552734,174.68592834472656,13.40999984741211
2015-03-24,245.59500122070312,114.56999969482422,173.70436096191406,13.619999885559082
2015-03-25,246.19700622558594,114.7300033569336,171.1588897705078,15.4399995803833
2015-03-26,248.53199768066406,115.4800033569336,170.75132751464844,15.800000190734863
